Unix	jday	Temp
996192000	208	8.95
996278400	209	8.98
996364800	210	9.06
996451200	211	9.12
996537600	212	9.14
996624000	213	9.15
996710400	214	9.19
996796800	215	9.1
996883200	216	9.06
996969600	217	8.98
997056000	218	8.95
997142400	219	8.99
997228800	220	8.94
997315200	221	8.89
997401600	222	8.98
997488000	223	9
997574400	224	8.97
997660800	225	8.98
997747200	226	9.02
997833600	227	9.09
997920000	228	9.1
998006400	229	9.12
998092800	230	9.14
998179200	231	9.19
998265600	232	9.24
998352000	233	9.3
998438400	234	9.36
998524800	235	9.41
998611200	236	9.42
998697600	237	9.44
998784000	238	9.5
998870400	239	9.55
998956800	240	9.71
999043200	241	9.88
999129600	242	9.91
999216000	243	9.82
999302400	244	9.75
999388800	245	9.7
999475200	246	9.68
999561600	247	9.68
999648000	248	9.7
999734400	249	9.7
999820800	250	9.9
999907200	251	9.89
999993600	252	9.85
1000080000	253	9.87
1000166400	254	10.07
1000252800	255	10.38
1000339200	256	10.55
1000425600	257	10.52
1000512000	258	10.45
1000598400	259	10.56
1000684800	260	10.72
1000771200	261	10.8
1000857600	262	10.79
1000944000	263	10.76
1001030400	264	10.72
1001116800	265	10.7
1001203200	266	10.69
1001289600	267	10.67
1001376000	268	10.77
1001462400	269	10.88
1001548800	270	11.08
1001635200	271	11.14
1001721600	272	11.28
1001808000	273	11.38
1001894400	274	11.55
1001980800	275	11.63
1002067200	276	11.79
1002153600	277	12.21
1002240000	278	12.59
1002326400	279	12.71
1002412800	280	12.75
1002499200	281	12.76
1002585600	282	12.74
1002672000	283	12.72
1002758400	284	12.67
1002844800	285	12.48
1002931200	286	12.04
1003017600	287	11.84
1003104000	288	11.86
1003190400	289	11.81
1003276800	290	11.71
1003363200	291	11.65
1003449600	292	11.65
1003536000	293	11.66
1003622400	294	11.68
1003708800	295	11.77
1003795200	296	11.9
1003881600	297	11.98
1003968000	298	12.01
1004054400	299	12.02
1004140800	300	12.02
1004227200	301	12.02
1004313600	302	12.01
1004400000	303	12.63
1004486400	304	13.04
1004572800	305	13.2
1004659200	306	13.21
1004745600	307	13.2
1004832000	308	13.2
1004918400	309	13.25
1005004800	310	13.29
1005091200	311	13.27
1005177600	312	13.2
1005264000	313	13.13
1005350400	314	13.07
1005436800	315	13.5
1005523200	316	14.12
1005609600	317	14.42
1005696000	318	14.45
1005782400	319	14.42
1005868800	320	14.37
1005955200	321	14.29
1006041600	322	14.21
1006128000	323	14.12
1006214400	324	14.02
1006300800	325	13.92
1006387200	326	13.83
1006473600	327	13.74
1006560000	328	13.65
1006646400	329	13.55
1006732800	330	13.45
1006819200	331	13.38
1006905600	332	13.33
1006992000	333	13.29
1007078400	334	13.26
1007164800	335	13.22
1007251200	336	13.19
1007337600	337	13.17
1007424000	338	13.14
1007510400	339	13.12
1007596800	340	13.11
1007683200	341	13.1
1007769600	342	13.09
1007856000	343	13.09
1007942400	344	13.1
1008028800	345	13.11
1008115200	346	13.45
1008201600	347	13.94
1008288000	348	14.52
1008374400	349	14.97
1008460800	350	15.31
1008547200	351	15.48
1008633600	352	15.54
1008720000	353	15.55
1008806400	354	15.52
1008892800	355	15.56
1008979200	356	15.81
1009065600	357	15.96
1009152000	358	15.91
1009238400	359	15.83
1009324800	360	15.79
1009411200	361	15.78
1009497600	362	15.8
1009584000	363	15.96
1009670400	364	16.15
1009756800	365	16.25
