Unix	jday	dp	hs	tp
982897200	54	134.99	0.86	9.94
982908000	54	132.49	1.02	12.21
982918800	54	68.12	1.15	3.59
982929600	54	57.96	1.37	4.05
982940400	54	53.19	1.28	4.34
982951200	54	53.58	1.14	4.42
982962000	54	127.94	1.03	11.57
982972800	55	123.83	0.95	11.24
982983600	55	122.94	0.88	11.04
982994400	55	116.06	0.82	10.87
983005200	55	114.18	0.79	10.7
983016000	55	112.03	0.77	10.36
983026800	55	108.91	0.77	10.17
983037600	55	102.08	0.8	10.09
983048400	55	324.62	1.13	3.19
983059200	56	104.23	0.93	10
983070000	56	111.37	0.82	9.97
983080800	56	114.7	0.9	9.93
983091600	56	121.99	0.87	9.87
983102400	56	126.02	0.81	9.8
983113200	56	132.56	0.75	9.69
983124000	56	116.97	0.7	9.54
983134800	56	118.68	0.65	9.45
983145600	57	116.56	0.61	9.38
983156400	57	118.12	0.59	9.32
983167200	57	115.93	0.82	9.26
983178000	57	99.16	0.93	3.55
983188800	57	80.1	0.92	3.68
983199600	57	77.43	0.87	4
983210400	57	70.33	0.93	3.91
983221200	57	70.12	0.91	4.09
983232000	58	70.08	0.97	4.05
983242800	58	82.19	0.99	4.63
983253600	58	84.06	1.05	5.1
983264400	58	85.16	1.06	5.39
983275200	58	90.48	1.02	5.59
983286000	58	92.04	0.97	5.67
983296800	58	91.8	0.91	5.71
983307600	58	92.74	0.86	5.73
983318400	59	92.57	0.83	5.71
983329200	59	93.39	0.8	5.69
983340000	59	92.8	0.82	5.67
983350800	59	93.25	0.8	5.64
983361600	59	92.54	0.78	5.61
983372400	59	92.92	0.71	5.59
983383200	59	92.05	0.66	5.56
983394000	59	91.51	0.63	5.55
983404800	60	85.38	0.73	5.58
983415600	60	318	1.08	3.54
983426400	60	322.57	1.01	4
983437200	60	88.39	0.96	6.41
983448000	60	86.36	0.9	6.58
983458800	60	219.6	1.04	3.16
983469600	60	208.13	1.36	4.4
983480400	60	195.87	1.55	6.04
983491200	61	193.33	1.58	6.33
983502000	61	186.09	1.53	6.43
983512800	61	183.28	1.39	6.38
983523600	61	181.95	1.24	6.28
983534400	61	181.7	1.13	6.21
983545200	61	179.77	1.06	6.11
983556000	61	183.25	1.03	5.97
983566800	61	181.34	1.04	5.88
983577600	62	128.26	1.09	12.3
983588400	62	125.61	1.14	13.03
983599200	62	122.75	1.19	13.09
983610000	62	125.72	1.22	12.99
983620800	62	125.89	1.23	12.48
983631600	62	127.96	1.23	12.16
983642400	62	125.58	1.21	11.93
983653200	62	129.13	1.18	11.62
983664000	63	126.94	1.14	11.32
983674800	63	128.91	1.09	11.17
983685600	63	127.14	1.07	11.05
983696400	63	129.24	1.24	10.92
