Unix	jday	U.component_of_wind
757854000	6	4.30038575400833
757857600	6	4.16777592764414
757861200	6	3.43954687422092
757864800	6	3.10711417307233
757868400	6	3.01020819260392
757872000	6	2.3744949764869
757875600	6	1.52199765403331
757879200	6	1.72282013858092
757882800	6	0.487110607169443
757886400	6	0.79318382252796
757890000	6	1.77886500825401
757893600	6	2.7773793462539
757897200	6	3.52596418767628
757900800	7	4.17658382807463
757904400	7	4.54094063974677
757908000	7	5.45737096055411
757911600	7	6.04333052833807
757915200	7	5.76276393013426
757918800	7	5.45695519376292
757922400	7	4.83111006961025
757926000	7	4.0417874291392
757929600	7	3.46110593718555
757933200	7	3.45300191249017
757936800	7	3.30029336215358
757940400	7	3.07355363148935
757944000	7	3.72279869984923
757947600	7	2.19750200113086
757951200	7	1.05669875447796
757954800	7	-0.812655458308354
757958400	7	-1.90179454245506
757962000	7	-1.91345640731748
757965600	7	1.22076516862081
757969200	7	2.08463980690556
757972800	7	2.88191938035856
757976400	7	2.35109435458474
757980000	7	1.3973461634047
757983600	7	0.531806625808246
757987200	8	1.42653262033208
757990800	8	1.92269000056624
757994400	8	2.73923956369443
757998000	8	3.88330886280714
758001600	8	4.91763398435927
758005200	8	5.47128345640077
758008800	8	2.45288730653976
758012400	8	1.8618976697285
758016000	8	0.31914011421385
758019600	8	-1.12146385065107
758023200	8	-1.74658534423832
758026800	8	-2.17237977749634
758030400	8	-0.354433693357132
758034000	8	-1.59313300034208
758037600	8	-2.09568270700838
758041200	8	-2.56511801998809
758044800	8	-2.84362683086474
758048400	8	-2.78970074134325
758052000	8	-0.755635005607945
758055600	8	-0.791196299575997
758059200	8	2.51743561713
758062800	8	4.51596702708356
758066400	8	4.42251563306626
758070000	8	4.04958103473961
758073600	9	1.80224353184878
758077200	9	2.31754361351344
758080800	9	3.223208901301
758084400	9	3.47654781631129
758088000	9	3.78330483846963
758091600	9	3.80118155325151
758095200	9	4.83187178845059
758098800	9	3.76179019959352
758102400	9	4.26013094693408
758106000	9	2.6979327172581
758109600	9	1.77206788049533
758113200	9	1.9876369980352
758116800	9	4.2913284223859
758120400	9	3.34772323262479
758124000	9	3.90322898272971
758127600	9	4.5277101683422
758131200	9	4.30690031197042
758134800	9	4.33331553346515
758138400	9	2.74635495354642
758142000	9	3.26053267891561
758145600	9	3.70670175849863
758149200	9	3.86482162242746
758152800	9	3.24273045975821
758156400	9	2.70107525942211
758160000	10	-1.1269257026105
758163600	10	0.140030848347164
758167200	10	-0.329668112887909
758170800	10	-2.63324231387694
758174400	10	-4.72041983716645
758178000	10	-5.94037667849643
758181600	10	-6.43621758615438
758185200	10	-5.24931761080116
758188800	10	-4.19689215393777
758192400	10	-3.37451802477902
758196000	10	-2.11245193256464
758199600	10	-0.722205193131986
758203200	10	-0.241015677046765
758206800	10	0.855784042346047
758210400	10	1.86155796105834
758214000	10	2.7154622853158
758217600	10	3.01720208680943
758221200	10	3.27227823348355
