Unix	jday	Downward_Short-Wave_Rad_Flux
892670400	105	15.4770324900213
892674000	105	70.6986271486805
892677600	105	139.954210142453
892681200	105	208.300290724211
892684800	106	457.242048211771
892688400	106	457.242048211771
892692000	106	516.900499332847
892695600	106	409.627113986452
892699200	106	326.84038885284
892702800	106	268.762103059707
892706400	106	0
892710000	106	0
892713600	106	0
892717200	106	0
892720800	106	0
892724400	106	0
892728000	106	0
892731600	106	0
892735200	106	0
892738800	106	0
892742400	106	0
892746000	106	0
892749600	106	0
892753200	106	0
892756800	106	14.926289662134
892760400	106	71.9971356853401
892764000	106	142.959733070271
892767600	106	213.114641326088
892771200	107	617.839355722944
892774800	107	617.839355722944
892778400	107	604.864324705541
892782000	107	573.189963169117
892785600	107	524.582165888618
892789200	107	462.133598867002
892792800	107	0
892796400	107	0
892800000	107	0
892803600	107	0
892807200	107	0
892810800	107	0
892814400	107	0
892818000	107	0
892821600	107	0
892825200	107	0
892828800	107	0
892832400	107	0
892836000	107	0
892839600	107	0
892843200	107	0.504757370041444
892846800	107	3.07623004678933
892850400	107	17.8533047905014
892854000	107	78.4169117967295
892857600	108	565.040076401038
892861200	108	565.040076401038
892864800	108	552.330872475397
892868400	108	525.1984009923
892872000	108	484.422693848479
892875600	108	428.450531662674
892879200	108	0
892882800	108	0
892886400	108	0
892890000	108	0
892893600	108	0
892897200	108	0
892900800	108	0
892904400	108	0
892908000	108	0
892911600	108	0
892915200	108	0
892918800	108	0
892922400	108	0
892926000	108	0
892929600	108	13.8374830672028
892933200	108	68.6746180669428
892936800	108	137.232388067233
892940400	108	204.8431300235
892944000	109	587.726845492477
892947600	109	587.726845492477
892951200	109	574.689980175021
892954800	109	543.779804347593
892958400	109	496.414888011601
892962000	109	435.80434855502
892965600	109	0
892969200	109	0
892972800	109	0
892976400	109	0
892980000	109	0
892983600	109	0
892987200	109	0
892990800	109	0
892994400	109	0
892998000	109	0
893001600	109	0
893005200	109	0
893008800	109	0
893012400	109	0
893016000	109	0.734182979097209
893019600	109	3.37082848077927
893023200	109	7.32374808780895
893026800	109	11.9391363566338
893030400	110	44.5068670753602
893034000	110	44.5068670753602
893037600	110	43.2234719463382
893041200	110	39.567090289327
893044800	110	34.710645896743
893048400	110	29.7382822190825
893052000	110	0
893055600	110	0
893059200	110	0
893062800	110	0
893066400	110	0
893070000	110	0
893073600	110	0
893077200	110	0
893080800	110	0
893084400	110	0
893088000	110	0
893091600	110	0
893095200	110	0
893098800	110	0
893102400	110	10.5281136882514
893106000	110	58.6976786433154
893109600	110	118.507977661694
893113200	110	175.311004505649
893116800	111	487.215091036853
893120400	111	487.215091036853
893124000	111	502.646037223186
893127600	111	488.968225600377
893131200	111	450.469707537706
893134800	111	395.169014053014
893138400	111	0
893142000	111	0
893145600	111	0
893149200	111	0
893152800	111	0
893156400	111	0
893160000	111	0
893163600	111	0
893167200	111	0
893170800	111	0
893174400	111	0
893178000	111	0
893181600	111	0
893185200	111	0
893188800	111	10.3483829322132
893192400	111	61.0460608016617
893196000	111	127.078400287467
893199600	111	193.168664699805
893203200	112	576.949096451493
893206800	112	576.949096451493
893210400	112	563.567631592318
893214000	112	531.741441322915
893217600	112	483.785970066772
893221200	112	423.002376326228
893224800	112	0
893228400	112	0
893232000	112	0
893235600	112	0
893239200	112	0
893242800	112	0
893246400	112	0
893250000	112	0
893253600	112	0
893257200	112	0
893260800	112	0
893264400	112	0
893268000	112	0
893271600	112	0
893275200	112	4.41354459897162
893278800	112	20.4105605239822
893282400	112	45.3573722403791
893286000	112	70.5942957742918
893289600	113	179.013138316592
893293200	113	179.013138316592
893296800	113	166.117731030686
893300400	113	154.356502421369
893304000	113	138.15306480667
893307600	113	119.325555330025
893311200	113	0
893314800	113	0
893318400	113	0
893322000	113	0
893325600	113	0
893329200	113	0
893332800	113	0
893336400	113	0
893340000	113	0
893343600	113	0
893347200	113	0
893350800	113	0
893354400	113	0
893358000	113	0
893361600	113	8.97094243433591
893365200	113	57.9654467047525
893368800	113	122.716112040831
893372400	113	187.676572207052
893376000	114	562.727791607165
893379600	114	562.727791607165
893383200	114	549.140878749939
893386800	114	516.582463455568
893390400	114	469.110742845346
893394000	114	409.186611618094
893397600	114	0
893401200	114	0
893404800	114	0
893408400	114	0
893412000	114	0
893415600	114	0
893419200	114	0
893422800	114	0
893426400	114	0
893430000	114	0
