Unix	jday	V-component_of_wind
820803600	5	-4.20584978350169
820807200	5	-3.95035954920102
820810800	5	-3.93535895527671
820814400	5	-3.96022740671752
820818000	5	-3.93294469626627
820821600	5	-4.28027052581321
820825200	5	-3.56197526179203
820828800	5	-3.3352315182051
820832400	5	-3.50909340996407
820836000	5	-3.24718512452283
820839600	5	-2.9351364425343
820843200	5	-4.23527710067993
820846800	5	-3.57741277823938
820850400	5	-3.30031262012335
820854000	5	-2.86603592932078
820857600	5	-2.5264943892368
820861200	5	-2.21275304757931
820864800	5	-3.05943786339395
820868400	5	-2.67924057235421
820872000	5	-2.43401732970733
820875600	5	-2.1431381861171
820879200	5	-1.81862321779495
820882800	5	-1.67989180649188
820886400	6	-3.40062134336594
820890000	6	-3.10723065993348
820893600	6	-3.20215679112728
820897200	6	-3.30717235298696
820900800	6	-3.26007513360663
820904400	6	-3.17358348545014
820908000	6	-3.42945633652026
820911600	6	-3.27850390300403
820915200	6	-3.17920817535164
820918800	6	-3.29017361138739
820922400	6	-3.34343390475939
820926000	6	-3.414798373295
820929600	6	-3.54516854372263
820933200	6	-3.55509505050075
820936800	6	-3.49117540290185
820940400	6	-3.34704245755039
820944000	6	-3.42050957652669
820947600	6	-3.47235446688358
820951200	6	-3.43897983890858
820954800	6	-3.17575530896269
820958400	6	-2.91844132678919
820962000	6	-2.72104192809991
820965600	6	-2.95724710292734
820969200	6	-3.18019838693171
820972800	7	-4.25506801073405
820976400	7	-3.80556261397429
820980000	7	-3.89236943361989
820983600	7	-4.56382496447567
820987200	7	-5.32315513945514
820990800	7	-5.79412685589574
820994400	7	-5.27336231785848
820998000	7	-5.11119242995737
821001600	7	-4.84841724088578
821005200	7	-4.69992476671472
821008800	7	-4.4069614760947
821012400	7	-4.09780972882296
821016000	7	-4.88021005912184
821019600	7	-3.68674322074515
821023200	7	-2.75375390877429
821026800	7	-2.14909788663828
821030400	7	-1.80650019531131
821034000	7	-1.47150941138556
821037600	7	-1.09151223404476
821041200	7	-0.712317528997743
821044800	7	0.335312152996295
821048400	7	1.98799602325258
821052000	7	3.98635949506242
821055600	7	5.61804018669076
821059200	8	5.56559634871713
821062800	8	7.2800091501096
821066400	8	6.97200092774909
821070000	8	6.01726639972225
821073600	8	5.07397549375081
821077200	8	4.29303919421814
821080800	8	3.67481413779149
821084400	8	3.27940846314241
821088000	8	2.66391427007522
821091600	8	2.08407007122354
821095200	8	1.52090589325569
821098800	8	1.01795814848541
821102400	8	0.398410869210892
821106000	8	0.127664916181546
821109600	8	0.244509026523665
821113200	8	0.2996581219614
821116800	8	0.241241794714391
821120400	8	0.220942101678148
821124000	8	-1.22500781379651
821127600	8	-0.729128475336016
821131200	8	-0.756196457169359
821134800	8	-0.911295496077821
821138400	8	-1.20658598297543
821142000	8	-1.50712503256429
821145600	9	-1.85452430145995
821149200	9	-2.18004020606225
821152800	9	-2.25862839118677
821156400	9	-2.33104046051688
821160000	9	-2.58818807959583
821163600	9	-2.87264273413735
821167200	9	-2.61744548522898
821170800	9	-2.79268241651258
821174400	9	-2.68548700143216
821178000	9	-2.70910673007313
821181600	9	-3.05094872339521
821185200	9	-3.34926295583766
821188800	9	-4.17584108075267
821192400	9	-3.96803386019899
821196000	9	-3.96399945510909
821199600	9	-3.75676643679538
821203200	9	-3.70376200051755
821206800	9	-3.68720728979664
821210400	9	-2.97190465318613
821214000	9	-2.63597057750439
821217600	9	-2.37045694964742
821221200	9	-2.17145787953125
821224800	9	-2.03809612471049
821228400	9	-1.97357420082701
821232000	10	-3.88706648457995
821235600	10	-2.89548302398254
821239200	10	-2.67596409563249
821242800	10	-2.99818231915956
821246400	10	-3.2170476248529
821250000	10	-3.42031398468133
821253600	10	-2.46517636627909
821257200	10	-2.46178849346306
821260800	10	-2.85126577186198
821264400	10	-2.74215825804329
821268000	10	-2.01357337897814
821271600	10	-1.40321621853231
821275200	10	-1.40911679845807
821278800	10	-0.750435079268764
821282400	10	0.354898121956113
821286000	10	1.58795245212851
821289600	10	2.24599255388433
821293200	10	2.7294470866874
821296800	10	2.10746232197834
821300400	10	2.99361466978856
821304000	10	3.67421709323043
821307600	10	4.08444675093785
821311200	10	4.19860527344515
821314800	10	4.15561590342253
821318400	11	2.51573762753658
821322000	11	2.97847151580044
821325600	11	3.51985104916716
821329200	11	3.31010317583305
821332800	11	2.75097316264808
821336400	11	2.40830272055824
821340000	11	3.47907432432135
821343600	11	2.63121518971704
