Unix	jday	Downward_Short.Wave_Rad_Flux
694710000	6	0
694713600	6	0
694717200	6	0
694720800	6	171.809009834832
694724400	6	171.809009834832
694728000	6	273.155182469481
694731600	6	373.590950603237
694735200	6	468.042817252831
694738800	6	552.854913878024
694742400	7	1024.77460751531
694746000	7	1024.77460751531
694749600	7	1014.56909035327
694753200	7	986.079437707253
694756800	7	940.38730410317
694760400	7	879.888300385003
694764000	7	251.033040774907
694767600	7	251.033040774907
694771200	7	164.25697597766
694774800	7	110.066906250514
694778400	7	82.5412400001242
694782000	7	66.0434211421879
694785600	7	0
694789200	7	0
694792800	7	0
694796400	7	0
694800000	7	0
694803600	7	0
694807200	7	178.150918661607
694810800	7	178.150918661607
694814400	7	269.745852669949
694818000	7	366.849091515831
694821600	7	459.726455232245
694825200	7	542.891811335313
694828800	8	1001.1270596282
694832400	8	1001.1270596282
694836000	8	991.779771306288
694839600	8	965.99245548437
694843200	8	922.935014150012
694846800	8	864.690064885215
694850400	8	246.319847846521
694854000	8	246.319847846521
694857600	8	161.365342374691
694861200	8	108.129549419579
694864800	8	81.0834843576746
694868400	8	64.8659067979105
694872000	8	0
694875600	8	0
694879200	8	0
694882800	8	0
694886400	8	0
694890000	8	0
694893600	8	131.58357783483
694897200	8	131.58357783483
694900800	8	250.08262874811
694904400	8	354.265634554736
694908000	8	450.394883693715
694911600	8	535.560060931052
694915200	9	725.821941698207
694918800	9	725.821941698207
694922400	9	668.249369934186
694926000	9	706.159665890702
694929600	9	703.451140953546
694933200	9	677.216323437331
694936800	9	236.383096076501
694940400	9	236.383096076501
694944000	9	155.716250409281
694947600	9	104.352164049161
694951200	9	78.2598419028105
694954800	9	62.6111622882166
694958400	9	0
694962000	9	0
694965600	9	0
694969200	9	0
694972800	9	0
694976400	9	0
694980000	9	178.943183900962
694983600	9	178.943183900962
694987200	9	276.660193961138
694990800	9	375.374385763829
694994400	9	469.31914747867
694998000	9	554.212708086077
695001600	10	1030.34343922806
695005200	10	1030.34343922806
695008800	10	1020.71914342679
695012400	10	991.715709132846
695016000	10	945.672343576968
695019600	10	884.710068508291
695023200	10	251.358293752384
695026800	10	251.358293752384
695030400	10	163.927667419797
695034000	10	109.801087768869
695037600	10	82.3458792903399
695041200	10	65.8840627469325
695044800	10	0
695048400	10	0
695052000	10	0
695055600	10	0
695059200	10	0
695062800	10	0
695066400	10	29.7996034408424
695070000	10	29.7996034408424
695073600	10	60.551888630369
695077200	10	112.264717929437
695080800	10	154.906639471932
695084400	10	193.912923147111
695088000	11	375.822436259265
695091600	11	375.822436259265
695095200	11	431.338225928516
695098800	11	396.205002574684
695102400	11	364.512630991631
695106000	11	335.028063039414
695109600	11	131.986758842881
695113200	11	131.986758842881
695116800	11	93.3956751571784
695120400	11	62.7099804264952
695124000	11	47.0425930902735
695127600	11	37.6297242985028
695131200	11	0
695134800	11	0
695138400	11	0
695142000	11	0
695145600	11	0
695149200	11	0
695152800	11	111.796948818374
695156400	11	111.796948818374
695160000	11	120.68641895756
695163600	11	106.029056831774
695167200	11	119.849146088557
695170800	11	155.445569920918
695174400	12	646.529242135508
695178000	12	646.529242135508
695181600	12	676.068032845109
695185200	12	580.911849913155
695188800	12	577.009865339985
695192400	12	582.602742513655
695196000	12	232.795860853544
695199600	12	232.795860853544
695203200	12	151.795524357884
695206800	12	101.649603559173
695210400	12	76.2270414957015
695214000	12	60.9891526325221
695217600	12	0
695221200	12	0
695224800	12	0
695228400	12	0
695232000	12	0
695235600	12	0
695239200	12	155.150007782506
695242800	12	155.150007782506
695246400	12	251.559085539294
695250000	12	346.727807279565
695253600	12	440.892755106222
695257200	12	526.900447612109
695260800	13	1018.17253589398
695264400	13	1018.17253589398
695268000	13	1011.18870457519
695271600	13	984.477624623354
695275200	13	940.299133121361
695278800	13	880.479455767344
695282400	13	252.979483137462
695286000	13	252.979483137462
695289600	13	164.479882370642
695293200	13	110.107343049103
695296800	13	82.5902217611506
695300400	13	66.072492439851
695304000	13	0
695307600	13	0
695311200	13	0
695314800	13	0
695318400	13	0
695322000	13	0
695325600	13	167.230558301052
695329200	13	167.230558301052
695332800	13	264.179393341346
695336400	13	362.632727734101
695340000	13	456.869423452056
695343600	13	542.342435761308
695347200	14	1020.48271333445
695350800	14	1020.48271333445
695354400	14	1012.5071575758
695358000	14	985.989134738838
695361600	14	942.43633158926
695365200	14	883.596189246685
695368800	14	261.257529412097
695372400	14	261.257529412097
695376000	14	170.478649610984
695379600	14	114.099847677508
695383200	14	85.5700321951032
695386800	14	68.4520917392316
695390400	14	0
695394000	14	0
695397600	14	0
695401200	14	0
695404800	14	0
695408400	14	0
695412000	14	138.861702958439
695415600	14	138.861702958439
695419200	14	236.278045041988
695422800	14	338.996862124333
695426400	14	396.821245265679
695430000	14	423.379758043882
695433600	15	474.89063976777
695437200	15	474.89063976777
695440800	15	472.503613594515
695444400	15	577.366390905883
695448000	15	611.949855827158
695451600	15	603.105443918044
695455200	15	242.818149922367
695458800	15	242.818149922367
695462400	15	157.186224436609
695466000	15	105.164835858172
695469600	15	78.8725250303426
695473200	15	63.106270440334
695476800	15	0
695480400	15	0
695484000	15	0
695487600	15	0
695491200	15	0
695494800	15	0
695498400	15	166.339945614026
695502000	15	166.339945614026
695505600	15	266.755673374372
695509200	15	368.017026049033
695512800	15	464.221964346302
695516400	15	551.006054672742
695520000	16	1031.86005088604
695523600	16	1031.86005088604
695527200	16	1022.35791951446
695530800	16	993.750150426285
695534400	16	947.851199587582
695538000	16	886.94745039579
695541600	16	250.639899138967
695545200	16	250.639899138967
695548800	16	162.305037976422
695552400	16	108.575580812659
695556000	16	81.4312453154611
695559600	16	65.1382016358944
695563200	16	0
695566800	16	0
695570400	16	0
695574000	16	0
695577600	16	0
695581200	16	0
695584800	16	157.787382616196
695588400	16	157.787382616196
695592000	16	245.628513636981
695595600	16	343.833400426294
695599200	16	428.005615192187
695602800	16	515.309467485611
695606400	17	873.956244047865
695610000	17	873.956244047865
695613600	17	920.050704688983
695617200	17	787.97314959667
