Unix	jday	Pressure
915631200	6	100459.575880613
915634800	6	100431.313813667
915638400	6	100390.26630803
915642000	6	100399.218802393
915645600	6	100312.361319304
915649200	6	100421.59010696
915652800	6	100478.804668269
915656400	6	100446.019229579
915660000	6	100398.447590048
915663600	6	100339.218802393
915667200	7	100209.909229809
915670800	7	100129.414310758
915674400	7	100042.280534376
915678000	7	100042.637612597
915681600	7	99981.7856153249
915685200	7	99960.3239755644
915688800	7	100013.109414255
915692400	7	100099.55276322
915696000	7	100158.666827439
915699600	7	100260.899679543
915703200	7	100279.932958834
915706800	7	100310.62338625
915710400	7	100149.852173906
915714000	7	100231.41832762
915717600	7	100302.051087501
915721200	7	100340.23236952
915724800	7	100348.413651539
915728400	7	100356.675718485
915732000	7	100278.689944832
915735600	7	100298.689944832
915739200	7	100308.989355518
915742800	7	100330.646503643
915746400	7	100338.632277297
915750000	7	100339.403489641
915753600	8	100329.484274569
915757200	8	100340.336271841
915760800	8	100362.926202166
915764400	8	100392.431283115
915768000	8	100380.888858427
915771600	8	100371.774794208
915775200	8	100341.855579136
915778800	8	100431.084366792
915782400	8	100499.265648811
915786000	8	100569.346433739
915789600	8	100590.117646083
915793200	8	100611.936364064
915796800	8	100620.19843101
915800400	8	100630.117646083
915804000	8	100610.036861155
915807600	8	100580.036861155
915811200	8	100587.608500685
915814800	8	100607.527715757
915818400	8	100616.675718485
915822000	8	100665.985291069
915825600	8	100696.871226851
915829200	8	100706.952011778
915832800	8	100708.77072976
915836400	8	100719.541942104
915840000	9	100821.084366792
915843600	9	100870.888858427
915847200	9	100942.350498187
915850800	9	101010.612565134
915854400	9	101040.888858427
915858000	9	101071.855579136
915861600	9	101032.903084773
915865200	9	101120.393939376
915868800	9	101249.899020324
915872400	9	101379.899020324
915876000	9	101448.851514687
915879600	9	101499.541942104
915883200	9	101428.080302343
915886800	9	101437.884793978
915890400	9	101447.884793978
915894000	9	101437.80400905
915897600	9	101446.837288341
915901200	9	101457.527715757
915904800	9	101518.298928101
915908400	9	101567.251422464
915912000	9	101615.237196118
915915600	9	101625.237196118
915919200	9	101595.846838607
915922800	9	101554.79933297
915926400	10	101534.523039677
915930000	10	101533.671042405
915933600	10	101482.623536768
915937200	10	101413.590257477
915940800	10	101371.852324423
915944400	10	101324.556978186
915948000	10	101376.375696167
915951600	10	101424.994841335
915955200	10	101446.732774388
915958800	10	101498.470707442
915962400	10	101538.827785662
915966000	10	101557.780280025
915969600	10	101519.794506372
915973200	10	101498.827785662
915976800	10	101448.827785662
915980400	10	101409.104078955
915984000	10	101377.285360974
915987600	10	101338.252081683
915991200	10	101359.104078955
915994800	10	101408.332866611
915998400	10	101456.318640265
916002000	10	101457.009067681
916005600	10	101397.699495097
916009200	10	101335.685268751
916012800	11	101248.884841565
916016400	11	101177.066123584
916020000	11	101127.066123584
916023600	11	101076.018617947
916027200	11	101018.032844293
