Unix	jday	Temperature
663120000	6	289.548715130689
663123600	6	289.695615694064
663127200	6	289.619289230256
663130800	6	289.104157358881
663134400	6	288.887018111293
663138000	6	288.803389312981
663141600	6	288.644773860626
663145200	6	288.678366587387
663148800	6	288.626839179565
663152400	6	288.544074248475
663156000	6	288.491515692567
663159600	6	288.419263968908
663163200	6	288.390851469935
663166800	6	288.316928165163
663170400	6	288.183755010793
663174000	6	288.030685737833
663177600	6	287.88551741797
663181200	6	287.713012083161
663184800	6	287.599306587601
663188400	6	287.80426690186
663192000	6	288.02981938841
663195600	6	288.548968830964
663199200	6	289.001639948364
663202800	6	289.399194194064
663206400	7	289.452640262694
663210000	7	289.029562878442
663213600	7	288.836859945547
663217200	7	288.6772616975
663220800	7	288.519774810177
663224400	7	288.323336850858
663228000	7	288.311016129657
663231600	7	288.041952175452
663235200	7	287.687201399514
663238800	7	287.256024772557
663242400	7	286.69331936865
663246000	7	286.207770005995
663249600	7	285.51066609708
663253200	7	284.970928297973
663256800	7	284.760303960304
663260400	7	284.903274089462
663264000	7	285.048077658133
663267600	7	285.167710431946
663271200	7	285.849002956662
663274800	7	285.921223477559
663278400	7	286.479823974619
663282000	7	286.794219024948
663285600	7	285.785035640975
663289200	7	285.277202701918
663292800	8	285.300896712326
663296400	8	285.482833185264
663300000	8	285.725884582766
663303600	8	285.770657896852
663307200	8	285.699551162659
663310800	8	285.482877074711
663314400	8	285.183313038537
663318000	8	285.065921903651
663321600	8	284.857137454065
663325200	8	284.485093503105
663328800	8	284.170816083122
663332400	8	283.904171758268
663336000	8	283.562377781977
663339600	8	283.331612016913
663343200	8	283.197721373033
663346800	8	283.071378578829
663350400	8	282.934375272852
663354000	8	282.769636859493
663357600	8	282.630816962104
663361200	8	282.415016753035
663364800	8	282.639111461795
663368400	8	283.452787787181
663372000	8	284.669899244397
663375600	8	285.255405814313
663379200	9	286.838443359216
663382800	9	287.226975121128
663386400	9	287.618156078127
663390000	9	287.745184917031
663393600	9	287.631960845557
663397200	9	287.377472811214
663400800	9	287.086393127351
663404400	9	286.469836403636
663408000	9	285.17796689295
663411600	9	284.328195083278
663415200	9	283.409880141062
663418800	9	282.522332318815
663422400	9	282.471674093131
663426000	9	282.275621916688
663429600	9	282.106278521532
663433200	9	282.10839614408
663436800	9	282.039078520567
663440400	9	281.953450003387
663444000	9	282.343593230941
663447600	9	283.862398840018
663451200	9	285.626401000952
663454800	9	287.149744223897
663458400	9	288.187362333253
663462000	9	288.804858462088
663465600	10	289.518476320153
663469200	10	289.709183658823
663472800	10	289.739259762156
663476400	10	289.572672702828
663480000	10	289.215071965531
663483600	10	288.650500951132
663487200	10	287.662132634823
663490800	10	286.543300622421
663494400	10	285.087027315366
663498000	10	284.119739861081
663501600	10	283.821351945373
663505200	10	283.644206111647
663508800	10	284.147125927822
663512400	10	284.344431486219
663516000	10	284.415271238049
663519600	10	284.502616984599
663523200	10	284.454578820453
663526800	10	284.422971357361
663530400	10	284.741291029385
663534000	10	285.245774952183
663537600	10	285.923922754753
663541200	10	286.677398713113
663544800	10	287.6683060306
663548400	10	288.43393772195
663552000	11	289.155033931965
663555600	11	289.491798267894
663559200	11	289.475028979349
663562800	11	289.363231539182
663566400	11	289.057493191608
