Unix	jday	Pressure
821671200	15	99036.4030252108
821674800	15	99016.4030252109
821678400	15	99028.2463435923
821682000	15	99062.4755777839
821685600	15	99089.4400859389
821689200	15	99152.1753599022
821692800	15	99216.4045940939
821696400	15	99280.3320415208
821700000	15	99302.1753599022
821703600	15	99337.9461257105
821707200	15	99408.8380812924
821710800	15	99437.9461257105
821714400	15	99461.8735731374
821718000	15	99454.9090649825
821721600	15	99453.065746601
821725200	15	99464.9090649825
821728800	15	99407.6443389458
821732400	15	99441.8720042544
821736000	15	99437.6427700627
821739600	15	99457.6427700627
821743200	15	99475.7994516813
821746800	15	99478.8349435264
821750400	16	99491.8704353714
821754000	16	99465.7978827983
821757600	16	99434.6057093347
821761200	16	99402.7623909533
821764800	16	99371.5702174896
821768400	16	99351.5702174896
821772000	16	99317.6427700628
821775600	16	99298.8349435264
821779200	16	99315.7994516813
821782800	16	99352.7623909533
821786400	16	99361.5702174896
821790000	16	99362.7623909533
821793600	16	99335.7994516813
821797200	16	99262.4621730715
821800800	16	99286.6914072632
821804400	16	99277.8835807268
821808000	16	99273.6543465351
821811600	16	99275.4976649165
821815200	16	99183.6543465351
821818800	16	99197.581793962
821822400	16	99229.4251123434
821826000	16	99223.6527776521
821829600	16	99223.6527776521
821833200	16	99223.6527776521
821836800	17	99228.2313699968
821840400	17	99266.3880516154
821844000	17	99269.4235434604
821847600	17	99270.6157169241
821851200	17	99259.4235434604
821854800	17	99265.1943092688
821858400	17	99270.3154990423
821862000	17	99310.6172858071
821865600	17	99387.581793962
821869200	17	99447.581793962
821872800	17	99458.7739674256
821876400	17	99481.8110281537
821880000	17	99548.7755363087
821883600	17	99546.0402623454
821887200	17	99557.8835807268
821890800	17	99593.9561332999
821894400	17	99628.1853674916
821898000	17	99672.7639598363
821901600	17	99663.9561332999
821905200	17	99729.7268991082
821908800	17	99791.5702174896
821912400	17	99838.8349435264
821916000	17	99831.8704353714
821919600	17	99817.6412011797
821923200	18	99824.6041404517
821926800	18	99795.7963139153
821930400	18	99787.6396322967
821934000	18	99773.061039952
821937600	18	99735.7963139153
821941200	18	99714.6041404517
821944800	18	99609.7253302252
821948400	18	99618.5331567616
821952000	18	99645.4976649165
821955600	18	99689.7268991082
821959200	18	99693.6543465351
821962800	18	99703.6543465351
821966400	18	99596.6914072632
821970000	18	99606.6914072632
821973600	18	99652.4621730715
