Unix	jday	V-component_of_wind
1033668000	276	2.45156915211442
1033671600	276	2.25325798656843
1033675200	276	1.68170651257607
1033678800	276	1.22400244322604
1033682400	276	0.718940253416982
1033686000	276	0.225914878962041
1033689600	277	-1.10400302839448
1033693200	277	-0.8748649738669
1033696800	277	-0.748919908254734
1033700400	277	-0.842378616273896
1033704000	277	-0.352826149245264
1033707600	277	0.268812845329395
1033711200	277	-0.0211937799681562
1033714800	277	0.981032606634665
1033718400	277	2.10223280577417
1033722000	277	3.02035859404989
1033725600	277	3.28219378010726
1033729200	277	3.61882880136541
1033732800	277	3.34223838029578
1033736400	277	3.44341575187201
1033740000	277	3.02526258544282
1033743600	277	2.25442959886741
1033747200	277	1.91245836159607
1033750800	277	1.52933160103576
1033754400	277	3.09156384337981
1033758000	277	2.31523063755988
1033761600	277	2.64102110752375
1033765200	277	3.15223343616423
1033768800	277	3.86740610612912
1033772400	277	4.5913198731965
1033776000	278	6.1696284539476
1033779600	278	5.56631883462933
1033783200	278	5.23274279811015
1033786800	278	4.99759748900563
1033790400	278	4.75612008319137
1033794000	278	4.45038051720249
1033797600	278	4.05901607851582
1033801200	278	3.18031176464674
1033804800	278	2.8700652171721
1033808400	278	2.11055969553401
1033812000	278	1.5321902549804
1033815600	278	1.26603828220197
1033819200	278	1.31869218791112
1033822800	278	1.40005315694141
1033826400	278	1.32033085024414
1033830000	278	1.27653353333132
1033833600	278	1.37593486738659
1033837200	278	1.41842111862358
1033840800	278	3.13383282970985
1033844400	278	1.83457888689227
1033848000	278	1.34516748475825
1033851600	278	0.850341307828173
1033855200	278	0.477506890262044
1033858800	278	0.3544720372262
1033862400	279	-1.40137803777062
1033866000	279	-0.844452152317649
1033869600	279	-0.446592610147291
1033873200	279	-0.124730010281817
1033876800	279	0.188608263885416
1033880400	279	0.520143050625748
1033884000	279	1.8004768513951
1033887600	279	2.14185083679263
1033891200	279	2.44391334314221
1033894800	279	2.41059204214037
1033898400	279	2.2987441624987
1033902000	279	2.17117509208955
1033905600	279	0.111611229470296
1033909200	279	1.33477124703291
1033912800	279	1.62507431207831
1033916400	279	1.52435262038086
1033920000	279	1.39173682765807
1033923600	279	1.26481036781163
1033927200	279	0.431878686520412
1033930800	279	0.816643952237878
1033934400	279	0.573132202628043
1033938000	279	0.35624754043511
1033941600	279	0.510287741779553
1033945200	279	0.916420264968089
1033948800	280	-0.0544381006273104
1033952400	280	0.640545690122958
1033956000	280	0.912842924843599
1033959600	280	1.21911001431966
1033963200	280	1.74250396707838
1033966800	280	2.26129846518292
1033970400	280	2.00513932907014
1033974000	280	2.60050961607108
1033977600	280	2.64197173204835
1033981200	280	2.37210634662336
1033984800	280	2.13869947619343
1033988400	280	1.9954253879486
1033992000	280	0.64585969349028
1033995600	280	1.44192552450903
1033999200	280	1.44020717634475
