Unix	jday	V.component_of_wind
852462000	5	-0.810638891010827
852465600	5	-1.28289883930523
852469200	5	-2.60517171831212
852472800	5	-2.81807917989978
852476400	5	-2.53442498608886
852480000	5	-2.30036267410233
852483600	5	-2.34558630959002
852487200	5	-3.06254610151517
852490800	5	-2.25329797009684
852494400	5	-0.876129850777422
852498000	5	0.661267357873228
852501600	5	2.16398464295044
852505200	5	2.52960304008686
852508800	6	1.46612383774514
852512400	6	0.000859871077305258
852516000	6	-0.677171461245983
852519600	6	-1.41447358276366
852523200	6	-2.1358413260288
852526800	6	-2.86507973083352
852530400	6	-2.70574808577653
852534000	6	-3.48959676371837
852537600	6	-3.16035786596494
852541200	6	-2.96783106958004
852544800	6	-2.74736662666034
852548400	6	-2.55132200469272
852552000	6	-3.51461662983965
852555600	6	-3.33427375762497
852559200	6	-3.04170987430184
852562800	6	-2.90896961977063
852566400	6	-2.57064579508219
852570000	6	-2.17841188977831
852573600	6	-1.3835005215305
852577200	6	-1.24076012759058
852580800	6	-0.685049566375564
852584400	6	-0.171831031165061
852588000	6	-0.0699820448964893
852591600	6	-0.00330195106211134
852595200	7	-2.55840657182144
852598800	7	-1.64623661124926
852602400	7	-1.67511188774355
852606000	7	-1.85546252475017
852609600	7	-2.15554220092706
852613200	7	-2.50924188198628
852616800	7	-2.75926063153102
852620400	7	-3.10764429084911
852624000	7	-3.55708935460247
852627600	7	-3.8191128470597
852631200	7	-3.45768254159973
852634800	7	-3.19404654982058
852638400	7	-4.72196603573822
852642000	7	-3.67225019251843
852645600	7	-2.90265543778618
852649200	7	-2.45452936018523
852652800	7	-2.49595996769623
852656400	7	-2.604213409342
852660000	7	-3.91969713820821
852663600	7	-3.36872912705686
852667200	7	-3.04101756466915
852670800	7	-3.05850317158858
852674400	7	-3.21767454251164
852678000	7	-3.33088349292395
852681600	8	-5.31688413317071
852685200	8	-4.60003018899494
852688800	8	-4.27684027456009
852692400	8	-4.19769723979974
852696000	8	-4.35379667591695
852699600	8	-4.50139339256475
852703200	8	-4.0348348007801
852706800	8	-3.77545040608522
852710400	8	-3.26644498981029
852714000	8	-2.93463420524284
852717600	8	-2.64895514106371
852721200	8	-2.43618253792879
852724800	8	-4.43814927179975
852728400	8	-3.40050202585614
852732000	8	-2.96263102752452
852735600	8	-3.01269461317727
852739200	8	-3.03279016434388
852742800	8	-3.04665242851166
852746400	8	-4.69121545280762
852750000	8	-3.79981121259557
852753600	8	-3.37619757019967
852757200	8	-3.44450859204885
852760800	8	-3.53383285330841
852764400	8	-3.62821490504995
852768000	9	-6.64963641469807
852771600	9	-5.70721787895925
852775200	9	-5.36608016503436
852778800	9	-5.0427243959584
852782400	9	-5.57572263254372
852786000	9	-5.92643918353529
852789600	9	-4.45829657198725
852793200	9	-4.87731873666162
852796800	9	-4.2826915070956
852800400	9	-4.03627622523958
852804000	9	-3.97025323671568
852807600	9	-3.70692684019206
852811200	9	-2.88381942527539
852814800	9	-2.71510707422168
852818400	9	-2.29464541747453
852822000	9	-2.28528617260718
852825600	9	-1.99961403986241
852829200	9	-1.74119151219743
852832800	9	-1.10445116711373
852836400	9	-0.567048434118891
852840000	9	-0.131526901890084
852843600	9	-0.0515469742750694
852847200	9	-0.0865624120478222
852850800	9	-0.0987256670756479
852854400	10	1.03247061180225
852858000	10	1.13258599794279
852861600	10	1.31283155996579
852865200	10	1.0887245607263
852868800	10	0.15360004138183
852872400	10	-1.00539322811235
852876000	10	-0.602040953983698
852879600	10	-1.49227418402795
852883200	10	-2.09136883120881
