Unix	jday	Downward_Short.Wave_Rad_Flux
884253600	8	13.3878872720931
884257200	8	10.711677831396
884260800	8	0
884264400	8	0
884268000	8	0
884271600	8	0
884275200	8	0
884278800	8	0
884282400	8	173.941395915095
884286000	8	173.941395915095
884289600	8	276.350756862516
884293200	8	379.135593410294
884296800	8	477.14054272801
884300400	8	565.509461349545
884304000	9	1058.62417689182
884307600	9	1058.62417689182
884311200	9	1051.78121838181
884314800	9	1024.38700112331
884318400	9	981.898117841963
884322000	9	923.185056562987
884325600	9	287.429980590179
884329200	9	287.429980590179
884332800	9	189.531312226024
884336400	9	126.863695046648
884340000	9	95.1426516932767
884343600	9	76.1180515054994
884347200	9	0
884350800	9	0
884354400	9	0
884358000	9	0
884361600	9	0
884365200	9	0
884368800	9	167.876632205069
884372400	9	167.876632205069
884376000	9	269.850331934464
884379600	9	372.016102083077
884383200	9	469.210531836606
884386800	9	557.156332319341
884390400	10	1054.14018761926
884394000	10	1054.14018761926
884397600	10	1047.28742767496
884401200	10	1021.1654710372
884404800	10	977.267142650881
884408400	10	917.573900156549
884412000	10	278.129365711317
884415600	10	278.129365711317
884419200	10	183.184044064531
884422800	10	122.613725456372
884426400	10	91.9537607042425
884430000	10	73.5676110810883
884433600	10	0
884437200	10	0
884440800	10	0
884444400	10	0
884448000	10	0
884451600	10	0
884455200	10	32.5815037752584
884458800	10	32.5815037752584
884462400	10	51.0520960511007
884466000	10	79.0080867950147
884469600	10	104.336035379882
884473200	10	129.029377134275
884476800	11	142.588247342185
884480400	11	142.588247342185
884484000	11	125.47740292541
884487600	11	120.76961492394
884491200	11	126.57667459574
884494800	11	142.609906335432
884498400	11	58.7834776395625
884502000	11	58.7834776395625
884505600	11	36.138333880269
884509200	11	24.1679477089594
884512800	11	18.1200059595765
884516400	11	14.4913988389047
884520000	11	0
884523600	11	0
884527200	11	0
884530800	11	0
884534400	11	0
884538000	11	0
884541600	11	16.2520490215198
884545200	11	16.2520490215198
884548800	11	31.66854471311
884552400	11	52.280941316572
884556000	11	74.6147759206946
884559600	11	99.7965601849279
884563200	12	380.732262046128
884566800	12	380.732262046128
884570400	12	403.755390118737
884574000	12	382.967303602185
884577600	12	401.937939097685
884581200	12	419.063452137218
884584800	12	259.098741078377
884588400	12	259.098741078377
884592000	12	172.639246958139
884595600	12	115.532465871448
884599200	12	86.6487256069434
884602800	12	69.314494701962
884606400	12	0
884610000	12	0
884613600	12	0
884617200	12	0
884620800	12	0
884624400	12	0
884628000	12	157.833633398222
884631600	12	157.833633398222
884635200	12	259.97196706782
884638800	12	362.847039705827
884642400	12	461.20793055737
884646000	12	550.706866483512
884649600	13	1058.91224015798
884653200	13	1058.91224015798
884656800	13	1052.61867272197
884660400	13	1027.14023053236
884664000	13	983.582343874511
884667600	13	924.082237165124
884671200	13	281.279230630324
884674800	13	281.279230630324
884678400	13	184.632464380148
884682000	13	123.502705357576
884685600	13	92.626929737609
884689200	13	74.1042205177833
884692800	13	0
884696400	13	0
884700000	13	0
884703600	13	0
884707200	13	0
884710800	13	0
884714400	13	149.716335696812
884718000	13	149.716335696812
884721600	13	250.074854002399
884725200	13	351.407361402516
884728800	13	448.594849095883
884732400	13	536.921826468069
884736000	14	985.777332937216
884739600	14	985.777332937216
884743200	14	969.984181843202
884746800	14	959.0456364983
884750400	14	919.031977223929
884754000	14	854.361038748463
884757600	14	102.717596321903
884761200	14	102.717596321903
884764800	14	61.0601368305746
884768400	14	40.7747327272103
884772000	14	30.5873223892063
884775600	14	24.4708780193552
884779200	14	0
884782800	14	0
884786400	14	0
884790000	14	0
884793600	14	0
884797200	14	0
884800800	14	21.666515354766
884804400	14	21.666515354766
884808000	14	34.2658120618317
884811600	14	50.3532952305493
884815200	14	68.7757909800084
