Unix	jday	U-component_of_wind
679122000	191	0.065910436784809
679125600	191	0.918058112054056
679129200	191	1.11704062741371
679132800	191	0.932793373724162
679136400	191	0.681825313788226
679140000	191	0.545753576602462
679143600	191	0.379837923568299
679147200	191	0.581536680934065
679150800	191	0.455231467226266
679154400	191	0.0220457693188345
679158000	191	-0.290932422738722
679161600	191	-0.859669275606168
679165200	191	-1.46394543679036
679168800	191	-1.13878999598442
679172400	191	-2.42570088659596
679176000	191	-2.94177813365944
679179600	191	-2.95882138101102
679183200	191	-2.31067758531918
679186800	191	-1.59661384702317
679190400	192	-0.225876865057093
679194000	192	-0.0241130821514472
679197600	192	0.557642833116086
679201200	192	0.910890857671725
679204800	192	0.450661090427681
679208400	192	-0.1965514218123
679212000	192	0.505468803261561
679215600	192	-0.787295560693997
679219200	192	-1.84003718505253
679222800	192	-2.89972267235924
679226400	192	-3.37810594149649
679230000	192	-3.67700869145934
679233600	192	-1.8131885848867
679237200	192	-3.43327409481844
679240800	192	-3.82161465350006
679244400	192	-3.95910225811575
679248000	192	-3.93676515259464
679251600	192	-4.01548978428715
679255200	192	-0.800734906619726
679258800	192	-3.57815772272203
679262400	192	-3.96821280643409
679266000	192	-3.80865068253353
679269600	192	-3.42143972861883
679273200	192	-2.78353559531286
679276800	193	-0.90834035440565
679280400	193	-1.32030917518114
679284000	193	-0.443023476964878
679287600	193	0.249447404599213
679291200	193	0.286243799326777
679294800	193	-0.0553115971915772
679298400	193	-0.450359605372726
679302000	193	-1.47720035501943
679305600	193	-2.4684482961568
679309200	193	-3.11392369650701
679312800	193	-3.21847746752289
679316400	193	-3.34476638251514
679320000	193	-0.732332180075302
679323600	193	-3.08684723788466
679327200	193	-3.38565817482285
679330800	193	-3.15892090417653
679334400	193	-2.68451525561929
679338000	193	-2.23825142633003
679341600	193	-0.887366248488277
679345200	193	-1.5375430039777
679348800	193	-1.68916626206222
679352400	193	-1.53688200750546
679356000	193	-1.11026008234423
679359600	193	-0.577681698772597
679363200	194	-0.596069258926492
679366800	194	0.214901715219808
679370400	194	0.607570319283038
679374000	194	0.765828366659315
679377600	194	0.50183430971552
679381200	194	-0.0403126435790661
679384800	194	-1.47983454110313
679388400	194	-1.75608360249958
679392000	194	-2.18327023999024
679395600	194	-2.49843304230875
679399200	194	-2.67235958826075
679402800	194	-2.85694623137611
679406400	194	-0.219925657353148
679410000	194	-2.39058531889314
679413600	194	-2.89518359065365
679417200	194	-2.79072285452261
679420800	194	-2.60990561468814
679424400	194	-2.46518185713645
679428000	194	-0.894688274450472
679431600	194	-1.94676814835829
679435200	194	-2.35662174143489
679438800	194	-2.25576290596851
679442400	194	-1.54119429680194
679446000	194	-0.652478087856271
679449600	195	0.813202519635367
679453200	195	1.09727462889237
679456800	195	1.60070380089844
679460400	195	2.08655269280687
679464000	195	1.9905876647314
679467600	195	1.91903832446816
679471200	195	0.797531233934127
679474800	195	0.533662106238799
679478400	195	-0.115447058700529
679482000	195	-0.724803516849697
