Unix	jday	Downward_Long-Wave_Rad_Flux
686750400	279	272.749625123541
686754000	279	272.914799125148
686757600	279	284.703694274501
686761200	279	302.243240335326
686764800	279	311.635161339002
686768400	279	317.450642536845
686772000	279	330.63613630886
686775600	279	330.847614193649
686779200	279	335.688496085458
686782800	279	337.26775272094
686786400	279	338.307361992462
686790000	279	339.620266185864
686793600	280	361.086699050884
686797200	280	361.12523043761
686800800	280	362.853217027828
686804400	280	364.495686105884
686808000	280	365.778159192959
686811600	280	366.673822415735
686815200	280	367.643013407011
686818800	280	367.318486681972
686822400	280	367.164974040969
686826000	280	366.460319911313
686829600	280	365.743377032522
686833200	280	365.069402453674
686836800	280	360.748014122496
686840400	280	360.627280086767
686844000	280	360.423166681986
686847600	280	360.211527458414
686851200	280	360.070403069498
686854800	280	359.887532896052
686858400	280	358.590933393635
686862000	280	358.2265084502
686865600	280	356.084582923549
686869200	280	351.695713079895
686872800	280	349.497825701716
686876400	280	347.727115037728
686880000	281	355.825886237934
686883600	281	356.890031484956
686887200	281	358.538426290932
686890800	281	359.451759107541
686894400	281	359.120876925368
686898000	281	357.861715389902
686901600	281	350.44812061715
686905200	281	350.301546212213
686908800	281	359.557260031568
686912400	281	363.905171512665
686916000	281	366.217780248271
686919600	281	367.706610406398
686923200	281	376.612440835801
686926800	281	376.69555840839
686930400	281	375.611554315452
686934000	281	373.722673614116
686937600	281	368.197730400195
686941200	281	357.156790747198
686944800	281	352.601827309007
686948400	281	352.603086347417
686952000	281	356.351750522333
686955600	281	357.582773653044
686959200	281	357.778046452277
686962800	281	357.451623822011
686966400	282	349.30803897861
686970000	282	349.86655011883
686973600	282	348.030916080374
686977200	282	345.910398693832
686980800	282	344.403445236892
686984400	282	342.810683163174
686988000	282	329.228737074778
686991600	282	328.565701288905
686995200	282	333.385347769913
686998800	282	336.979201141
687002400	282	339.557451481577
687006000	282	340.663995443106
687009600	282	320.298601571914
687013200	282	319.523306554147
687016800	282	311.840192216347
687020400	282	303.496694741868
687024000	282	299.654522501814
687027600	282	297.385396457064
687031200	282	276.472135252603
687034800	282	276.902225597399
687038400	282	276.284534007648
687042000	282	275.77710366412
687045600	282	275.397639158389
687049200	282	275.509925997474
687052800	283	276.72810566251
687056400	283	277.185605101833
687060000	283	276.352125572129
687063600	283	275.816006655989
687067200	283	274.996218386044
687070800	283	274.16698260945
687074400	283	270.96836226405
687078000	283	269.346819666651
687081600	283	267.487394163309
687085200	283	266.142975075841
687088800	283	264.977799217494
687092400	283	263.89786051278
687096000	283	256.727605735362
687099600	283	255.90335647858
687103200	283	255.295330866799
687106800	283	255.009579623143
687110400	283	254.956670294971
687114000	283	255.243347030693
687117600	283	270.00814853389
687121200	283	270.495565819587
687124800	283	273.093500091266
687128400	283	275.828234786775
687132000	283	282.397365645041
687135600	283	290.019509970021
687139200	284	345.395284343424
687142800	284	345.476299180957
687146400	284	341.913043741889
687150000	284	334.223563608814
687153600	284	327.022888997587
687157200	284	321.986364848041
687160800	284	298.282976438283
687164400	284	297.285440330348
687168000	284	297.792747303423
687171600	284	300.398536578937
687175200	284	303.397777685974
687178800	284	305.566601437804
687182400	284	282.169714279089
687186000	284	281.755259952994
687189600	284	280.814713527646
687193200	284	281.044001323915
687196800	284	281.660649557148
687200400	284	282.57891768426
687204000	284	311.287016926128
687207600	284	311.517524324754
687211200	284	311.218637457162
687214800	284	311.35893262824
687218400	284	314.897352983465
687222000	284	320.216380744277
687225600	285	353.874221952103
687229200	285	354.071841625018
687232800	285	355.102739355557
687236400	285	355.495104028152
687240000	285	355.414629982228
687243600	285	355.268633573872
687247200	285	354.102945873067
687250800	285	353.549658053767
687254400	285	354.02527117324
687258000	285	354.355506613021
687261600	285	354.245433551661
687265200	285	353.696425164229
687268800	285	347.270535562027
687272400	285	347.740758983226
687276000	285	347.874158958118
687279600	285	347.172337289376
687283200	285	347.248018987538
687286800	285	347.522651381422
687290400	285	358.092795406182
687294000	285	357.342807746292
687297600	285	355.849598968203
687301200	285	354.741069641012
687304800	285	354.725721273843
687308400	285	355.006505117449
687312000	286	356.848599136789
687315600	286	357.772848301289
687319200	286	356.620224627506
687322800	286	352.581620332716
687326400	286	348.624428072668
687330000	286	345.660586636678
687333600	286	336.351156053708
687337200	286	336.298538000278
687340800	286	334.505666508547
