Unix	jday	Pressure
1202536800	40	100111.417715988
1202540400	40	100132.384436697
1202544000	40	100170.922796936
1202547600	40	100220.922796936
1202551200	40	100221.694009281
1202554800	40	100211.694009281
1202558400	40	100202.66072999
1202562000	40	100221.889517646
1202565600	40	100201.199090229
1202569200	40	100201.003581864
1202572800	40	100169.956076227
1202576400	40	100158.413651539
1202580000	40	100128.77072976
1202583600	40	100119.104078955
1202587200	40	100117.642439195
1202590800	40	100108.413651539
1202594400	40	100039.875291299
1202598000	40	99970.6465036435
1202601600	41	99909.8752912994
1202605200	41	99792.0273584762
1202608800	41	99712.0273584762
1202612400	41	99612.9940791855
1202616000	41	99512.2228668413
1202619600	41	99430.6804421531
1202623200	41	99322.6946684994
1202626800	41	99323.0517467202
1202630400	41	99350.8188946156
1202634000	41	99369.0809615621
1202637600	41	99339.0809615621
1202641200	41	99327.9526709973
1202644800	41	99388.9193917066
1202648400	41	99387.1814586531
1202652000	41	99366.2147379439
1202655600	41	99315.1672323068
1202659200	41	99276.9051653602
1202662800	41	99266.9051653602
1202666400	41	99238.2289642902
1202670000	41	99308.2289642902
1202673600	41	99379.7713889785
1202677200	41	99389.7713889785
1202680800	41	99360.2663080297
1202684400	41	99352.7754534272
1202688000	42	99342.0850260109
1202691600	42	99374.3178781155
1202695200	42	99416.1365960967
1202698800	42	99456.2173810245
1202702400	42	99516.4936743174
1202706000	42	99586.4936743174
1202709600	42	99664.0653138476
1202713200	42	99765.0320345569
1202716800	42	99843.0985931384
1202720400	42	99914.8365261918
1202724000	42	99954.1460987754
1202727600	42	100004.836526192
1202731200	42	100064.065313848
1202734800	42	100123.570394796
1202738400	42	100144.341607141
1202742000	42	100162.684459015
1202745600	42	100193.651179724
1202749200	42	100215.389112778
1202752800	42	100264.617900434
1202756400	42	100304.341607141
1202760000	42	100343.651179724
1202763600	42	100404.422392068
1202767200	42	100434.422392068
1202770800	42	100464.422392068
1202774400	43	100524.422392068
1202778000	43	100553.374886431
1202781600	43	100592.684459015
1202785200	43	100592.603674087
1202788800	43	100553.294101504
1202792400	43	100541.55616845
1202796000	43	100550.508662813
1202799600	43	100540.589447741
1202803200	43	100542.327380794
1202806800	43	100580.589447741
1202810400	43	100570.589447741
1202814000	43	100559.541942104
1202817600	43	100539.461157176
1202821200	43	100489.184863883
1202824800	43	100437.44693083
1202828400	43	100397.44693083
1202832000	43	100358.413651539
1202835600	43	100309.461157176
1202839200	43	100290.23236952
1202842800	43	100308.413651539
1202846400	43	100326.399425193
1202850000	43	100297.170637537
1202853600	43	100217.861064953
1202857200	43	100138.551492369
1202860800	44	100037.009067681
1202864400	44	99948.4707074415
1202868000	44	99866.7327743881
1202871600	44	99766.6519894603
1202875200	44	99648.3899225138
1202878800	44	99558.309137586
1202882400	44	99448.5854308789
1202886000	44	99419.632936516
1202889600	44	99428.8617241719
1202893200	44	99410.8759505182
1202896800	44	99369.4143107578
1202900400	44	99328.7238833414
1202904000	44	99268.033455925
1202907600	44	99218.0334559251
1202911200	44	99148.0334559251
1202914800	44	99077.7571626321
1202918400	44	98998.4475900485
1202922000	44	98938.5283749763
1202925600	44	98779.2995873204
1202929200	44	98759.2995873204
1202932800	44	98738.4475900485
1202936400	44	98699.4143107578
1202940000	44	98650.1855231019
1202943600	44	98580.1855231019
1202947200	45	98520.5426013226
1202950800	45	98488.2520816833
1202954400	45	98397.4000844114
1202958000	45	98345.8576597231
1202961600	45	98259.2188023926
1202965200	45	98200.9227969364
