Unix	jday	U-component_of_wind
1099933200	313	2.40189038902206
1099936800	313	2.98363917086896
1099940400	313	3.07913728468285
1099944000	313	3.09505903682873
1099947600	313	3.01749368886131
1099951200	313	2.78955539348186
1099954800	313	2.588675450579
1099958400	314	-0.508693378441161
1099962000	314	1.23547132490764
1099965600	314	3.32057891564908
1099969200	314	4.69698215516307
1099972800	314	4.97324333417362
1099976400	314	5.0873338636121
1099980000	314	4.63302664020658
1099983600	314	4.23758064102427
1099987200	314	3.8348749052675
1099990800	314	3.96548294250222
1099994400	314	3.78196202251015
1099998000	314	3.52347302368924
1100001600	314	3.81371281721331
1100005200	314	2.69675208726484
1100008800	314	2.13395253184116
1100012400	314	1.39214065614729
1100016000	314	0.98430724664489
1100019600	314	0.529345457536889
1100023200	314	2.53561271460094
1100026800	314	1.80085526049987
1100030400	314	0.647264311948664
1100034000	314	0.271225054515322
1100037600	314	-0.152462477238114
1100041200	314	-0.950308366926851
1100044800	315	-3.4280586151962
1100048400	315	-4.52871764572795
1100052000	315	-5.29876227424968
1100055600	315	-5.76440324480178
1100059200	315	-5.71540053022254
1100062800	315	-5.63534273988028
1100066400	315	-4.45350619085977
1100070000	315	-5.00905666141973
1100073600	315	-5.12546454074609
1100077200	315	-4.78021874239849
1100080800	315	-3.90208690198935
1100084400	315	-3.16444273718665
1100088000	315	-1.71741408375213
1100091600	315	-1.69099006828774
1100095200	315	-1.75409444947381
1100098800	315	-1.80084103677219
1100102400	315	-1.87453143480913
1100106000	315	-2.00678140350035
1100109600	315	-1.18274036715201
1100113200	315	-1.58927867974079
1100116800	315	-1.95216876124896
1100120400	315	-2.30866947300901
1100124000	315	-2.91536801070962
1100127600	315	-3.43674803360269
1100131200	316	-5.04069131117936
1100134800	316	-4.81550974767419
1100138400	316	-5.30156757561405
1100142000	316	-5.99388988285453
1100145600	316	-6.47040045064835
1100149200	316	-6.7935136573726
1100152800	316	-6.05554902371466
1100156400	316	-5.86341484703211
1100160000	316	-5.46318572242496
1100163600	316	-4.83270191472203
1100167200	316	-3.79998163919292
1100170800	316	-2.8223315008399
1100174400	316	-1.60896378220725
1100178000	316	-1.01537899926408
1100181600	316	-0.747170787260211
1100185200	316	-0.437455187933441
1100188800	316	-0.00421752118829351
1100192400	316	0.41244590828123
1100196000	316	1.47668104834877
1100199600	316	1.93447993481878
1100203200	316	2.19819661667387
1100206800	316	1.88223831552263
1100210400	316	0.915632611638193
1100214000	316	-0.0299435239231983
1100217600	317	-2.56356900490662
1100221200	317	-3.14580909556997
1100224800	317	-3.94452481131884
1100228400	317	-4.50076788138925
1100232000	317	-4.65777516588625
