Unix	jday	Specific_humidity
876092400	278	0.00656927900969124
876096000	279	0.00674527419902193
876099600	279	0.00691358689312389
876103200	279	0.00677085798107007
876106800	279	0.00621028933767519
876110400	279	0.0056949646448887
876114000	279	0.00519363736458038
876117600	279	0.00484406545093545
876121200	279	0.00459751560739727
876124800	279	0.00438686831457744
876128400	279	0.00427195352352145
876132000	279	0.00421779513513591
876135600	279	0.00418905934798953
876139200	279	0.00430781029110921
876142800	279	0.00425877928255843
876146400	279	0.00422020447551964
876150000	279	0.00419712512246489
876153600	279	0.0042433401144967
876157200	279	0.00430526449608188
876160800	279	0.00453315371112244
876164400	279	0.00454815299395134
876168000	279	0.00460793205914748
876171600	279	0.0048662924731479
876175200	279	0.0053049177529531
876178800	279	0.00568932065850523
876182400	280	0.00657854778257898
876186000	280	0.00653439023487719
876189600	280	0.00644017382001689
876193200	280	0.00638432351586636
876196800	280	0.00634244478302878
876200400	280	0.00630172572836718
876204000	280	0.00618968860818881
876207600	280	0.00609232096616467
876211200	280	0.00610541409699304
876214800	280	0.00617101420155562
876218400	280	0.00622788943270774
876222000	280	0.006258523837526
876225600	280	0.00664064810905287
876229200	280	0.0065977830534369
876232800	280	0.00645543057988473
876236400	280	0.00631473039502176
876240000	280	0.00627777131651158
876243600	280	0.00626912055525702
876247200	280	0.00656953825445318
876250800	280	0.00669007265071993
876254400	280	0.00669458807559297
876258000	280	0.00667182523772324
876261600	280	0.00676295554508533
876265200	280	0.00684948416243106
876268800	281	0.00695401748031168
876272400	281	0.0067236651899559
876276000	281	0.00652023586109149
876279600	281	0.00637670421200053
876283200	281	0.00632933544460117
876286800	281	0.00625850993840868
876290400	281	0.00642894487383528
876294000	281	0.00638064156682415
876297600	281	0.00630364649934311
876301200	281	0.00626664356569069
876304800	281	0.00624565048774754
876308400	281	0.00621793457607037
876312000	281	0.00633042059100212
876315600	281	0.00615190876402645
876319200	281	0.00593683244489873
876322800	281	0.0057337471814067
876326400	281	0.00559784071518657
876330000	281	0.00548710843456039
876333600	281	0.005734946978348
876337200	281	0.00592783768958884
876340800	281	0.00600243238988639
876344400	281	0.00596204854996964
876348000	281	0.00586931919580898
876351600	281	0.00583961527158037
876355200	282	0.00618402210282073
876358800	282	0.00605871630989923
876362400	282	0.00609213301515685
876366000	282	0.00619550766046243
876369600	282	0.00638231106575777
876373200	282	0.00648894847603927
876376800	282	0.00666783404466195
876380400	282	0.00667162989669237
876384000	282	0.00674675735324434
876387600	282	0.00678565328183324
876391200	282	0.0068830974527701
876394800	282	0.00699541807298223
876398400	282	0.00742385820174045
876402000	282	0.00748598844901779
876405600	282	0.00756456919896061
