Unix	jday	Specific_humidity
969624000	266	0.00562329102206595
969627600	266	0.00555621854799822
969631200	266	0.00532123051010809
969634800	266	0.00505627472082369
969638400	266	0.00482101510157042
969642000	266	0.00465812967042007
969645600	266	0.00481526762779414
969649200	266	0.00503523591158576
969652800	266	0.00530074020343523
969656400	266	0.00556814741640675
969660000	266	0.00588257452538196
969663600	266	0.00605665621896541
969667200	267	0.00625740451982871
969670800	267	0.00636095543529332
969674400	267	0.00647654908778725
969678000	267	0.00659827352519068
969681600	267	0.00662174403218042
969685200	267	0.0065702696118559
969688800	267	0.00669858233261469
969692400	267	0.00635791238228046
969696000	267	0.00630016622701658
969699600	267	0.00642657299491229
969703200	267	0.00644397628003557
969706800	267	0.00639025914274409
969710400	267	0.00623443038489997
969714000	267	0.00608816297908038
969717600	267	0.00591525332833939
969721200	267	0.0057604632230011
969724800	267	0.00561137228018931
969728400	267	0.00546617094941729
969732000	267	0.00532095709892255
969735600	267	0.00520120154009963
969739200	267	0.00512548841580258
969742800	267	0.00501429584347964
969746400	267	0.00483829328207584
969750000	267	0.00466290177274509
969753600	268	0.00504254033967819
969757200	268	0.00504982016922404
969760800	268	0.00499338976456893
969764400	268	0.00509971838977951
969768000	268	0.0053156160725145
969771600	268	0.00549770922040835
969775200	268	0.0052877362842569
969778800	268	0.00503378375159967
969782400	268	0.00489520442120306
969786000	268	0.00475257524771846
969789600	268	0.00466485688242296
969793200	268	0.00460801701079387
969796800	268	0.00465057712353631
969800400	268	0.00459277348104773
969804000	268	0.00457157963682558
969807600	268	0.00451970938425598
969811200	268	0.00442084506399365
969814800	268	0.00431138787867937
969818400	268	0.00444746306781413
969822000	268	0.00449251414313235
969825600	268	0.00464305368216395
969829200	268	0.00449253112348113
969832800	268	0.00422476897919559
969836400	268	0.00398345664060162
969840000	269	0.00460663576144281
969843600	269	0.00412138823526413
969847200	269	0.0038422858643763
969850800	269	0.00372927136030468
969854400	269	0.0036306859278299
969858000	269	0.0035532530916204
969861600	269	0.00351500651084387
969865200	269	0.00328990630207815
969868800	269	0.00313563927514578
969872400	269	0.00297733875310642
969876000	269	0.00302788906476181
969879600	269	0.00316956679128108
969883200	269	0.00343794427725979
969886800	269	0.00354151358901262
969890400	269	0.00370552904786765
969894000	269	0.00388122945847416
969897600	269	0.00401124882978993
969901200	269	0.00415284204719118
969904800	269	0.00433674486696842
969908400	269	0.00434523312967592
969912000	269	0.00436774485038267
969915600	269	0.00430081264200992
969919200	269	0.00423106096630052
969922800	269	0.00417255537480669
969926400	270	0.00435350829512987
969930000	270	0.00422839539818719
969933600	270	0.00410473376133076
969937200	270	0.00404020404799617
969940800	270	0.00412795697484902
