Unix	jday	rh
1043049600	20	53
1043053200	20	56
1043056800	20	61
1043060400	20	66
1043064000	20	69
1043067600	20	72
1043071200	20	74
1043074800	20	74
1043078400	20	75
1043082000	20	81
1043085600	20	75
1043089200	20	68
1043092800	20	63
1043096400	20	58
1043100000	20	53
1043103600	20	50
1043107200	21	52
1043110800	21	49
1043114400	21	50
1043118000	21	51
1043121600	21	52
1043125200	21	52
1043128800	21	56
1043132400	21	61
1043136000	21	66
1043139600	21	69
1043143200	21	70
1043146800	21	69
1043150400	21	66
1043154000	21	65
1043157600	21	63
1043161200	21	61
1043164800	21	64
1043168400	21	68
1043172000	21	67
1043175600	21	68
1043179200	21	65
1043182800	21	50
1043186400	21	41
1043190000	21	36
1043193600	22	29
1043197200	22	30
1043200800	22	32
1043204400	22	34
1043208000	22	34
1043211600	22	36
1043215200	22	33
1043218800	22	36
1043222400	22	44
1043226000	22	51
1043229600	22	56
1043233200	22	60
1043236800	22	57
1043240400	22	57
1043244000	22	58
1043247600	22	58
1043251200	22	59
1043254800	22	60
1043258400	22	56
1043262000	22	52
1043265600	22	48
1043269200	22	43
1043272800	22	41
1043276400	22	40
1043280000	23	40
1043283600	23	42
1043287200	23	47
1043290800	23	52
1043294400	23	58
1043298000	23	72
1043301600	23	84
1043305200	23	88
1043308800	23	89
1043312400	23	89
1043316000	23	88
1043319600	23	88
1043323200	23	87
1043326800	23	85
1043330400	23	84
1043334000	23	84
1043337600	23	83
1043341200	23	82
1043344800	23	80
1043348400	23	76
1043352000	23	72
1043355600	23	68
1043359200	23	58
1043362800	23	54
1043366400	24	55
1043370000	24	59
1043373600	24	63
1043377200	24	61
1043380800	24	57
1043384400	24	54
1043388000	24	58
1043391600	24	67
1043395200	24	80
1043398800	24	85
1043402400	24	86
1043406000	24	86
1043409600	24	87
1043413200	24	86
1043416800	24	84
1043420400	24	81
1043424000	24	80
1043427600	24	80
1043431200	24	78
1043434800	24	74
1043438400	24	71
1043442000	24	68
1043445600	24	67
1043449200	24	67
1043452800	25	65
1043456400	25	61
1043460000	25	53
1043463600	25	50
1043467200	25	57
1043470800	25	65
1043474400	25	72
1043478000	25	76
1043481600	25	80
1043485200	25	80
1043488800	25	80
1043492400	25	79
1043496000	25	79
1043499600	25	77
1043503200	25	77
1043506800	25	76
1043510400	25	76
1043514000	25	76
1043517600	25	74
1043521200	25	69
1043524800	25	63
1043528400	25	57
1043532000	25	50
1043535600	25	48
1043539200	26	49
1043542800	26	49
1043546400	26	49
1043550000	26	51
1043553600	26	53
1043557200	26	55
1043560800	26	63
1043564400	26	66
1043568000	26	71
1043571600	26	72
1043575200	26	71
1043578800	26	71
1043582400	26	71
1043586000	26	72
1043589600	26	74
1043593200	26	73
1043596800	26	74
1043600400	26	77
1043604000	26	75
1043607600	26	76
1043611200	26	76
1043614800	26	68
1043618400	26	62
1043622000	26	60
1043625600	27	76
1043629200	27	86
1043632800	27	85
1043636400	27	83
1043640000	27	82
1043643600	27	81
1043647200	27	81
1043650800	27	80
1043654400	27	82
1043658000	27	82
1043661600	27	83
1043665200	27	83
1043668800	27	85
1043672400	27	83
1043676000	27	82
1043679600	27	80
1043683200	27	79
1043686800	27	78
1043690400	27	77
1043694000	27	72
1043697600	27	63
1043701200	27	49
1043704800	27	42
1043708400	27	39
1043712000	28	41
1043715600	28	37
1043719200	28	41
1043722800	28	41
1043726400	28	41
1043730000	28	42
1043733600	28	42
1043737200	28	46
1043740800	28	57
1043744400	28	62
1043748000	28	65
1043751600	28	69
1043755200	28	71
1043758800	28	72
1043762400	28	73
1043766000	28	72
1043769600	28	71
1043773200	28	70
1043776800	28	69
1043780400	28	63
1043784000	28	57
1043787600	28	48
1043791200	28	42
1043794800	28	39
1043798400	29	43
1043802000	29	41
1043805600	29	39
1043809200	29	38
1043812800	29	40
1043816400	29	42
1043820000	29	44
1043823600	29	51
1043827200	29	67
1043830800	29	76
1043834400	29	77
1043838000	29	79
1043841600	29	79
1043845200	29	79
1043848800	29	81
1043852400	29	83
1043856000	29	83
1043859600	29	84
1043863200	29	83
1043866800	29	76
1043870400	29	69
1043874000	29	61
1043877600	29	55
1043881200	29	48
1043884800	30	43
1043888400	30	42
1043892000	30	42
1043895600	30	42
1043899200	30	43
1043902800	30	44
1043906400	30	46
1043910000	30	49
1043913600	30	56
1043917200	30	60
1043920800	30	62
1043924400	30	64
1043928000	30	59
1043931600	30	59
1043935200	30	60
1043938800	30	61
1043942400	30	61
1043946000	30	61
1043949600	30	52
1043953200	30	52
1043956800	30	52
1043960400	30	49
1043964000	30	44
1043967600	30	40
1043971200	31	30
1043974800	31	28
1043978400	31	32
1043982000	31	40
1043985600	31	44
1043989200	31	48
1043992800	31	46
1043996400	31	48
1.044e+09	31	56
1044003600	31	62
1044007200	31	63
1044010800	31	64
1044014400	31	60
1044018000	31	61
1044021600	31	63
1044025200	31	66
1044028800	31	69
1044032400	31	71
1044036000	31	63
1044039600	31	60
1044043200	31	57
1044046800	31	55
1044050400	31	56
1044057600	32	58
1044061200	32	56
1044064800	32	53
1044068400	32	53
1044072000	32	53
1044075600	32	55
1044079200	32	60
1044082800	32	65
1044086400	32	76
1044090000	32	84
1044093600	32	87
1044097200	32	88
1044100800	32	85
1044104400	32	86
1044108000	32	82
1044111600	32	79
1044115200	32	78
1044118800	32	77
1044122400	32	72
1044126000	32	62
1044129600	32	55
1044133200	32	48
1044136800	32	41
1044140400	32	37
1044144000	33	36
1044147600	33	36
1044151200	33	38
1044154800	33	41
1044158400	33	44
1044162000	33	48
1044165600	33	55
1044169200	33	62
1044172800	33	74
1044176400	33	80
1044180000	33	84
1044183600	33	86
1044187200	33	86
1044190800	33	87
1044194400	33	86
