Unix	jday	Downward_Long-Wave_Rad_Flux
950130000	40	368.160812245737
950133600	40	367.017375748961
950137200	40	369.344375168696
950140800	41	381.008941558688
950144400	41	379.851893262147
950148000	41	380.531614740005
950151600	41	376.825130393872
950155200	41	368.805456212374
950158800	41	359.901969758209
950162400	41	308.85638636082
950166000	41	307.367941735754
950169600	41	304.800638530541
950173200	41	303.103036189904
950176800	41	302.300817534888
950180400	41	301.994151719077
950184000	41	304.710675711766
950187600	41	305.413070927832
950191200	41	306.169924103391
950194800	41	306.443760035057
950198400	41	306.340275425432
950202000	41	306.344408438194
950205600	41	305.344947297624
950209200	41	306.718546502318
950212800	41	310.370209048102
950216400	41	314.806657761026
950220000	41	319.345669346803
950223600	41	323.886524323535
950227200	42	347.465942612168
950230800	42	349.425468187476
950234400	42	349.638814810758
950238000	42	351.009570683666
950241600	42	352.468805547873
950245200	42	353.651376309378
950248800	42	357.02385220874
950252400	42	358.356250089773
950256000	42	356.137236039991
950259600	42	353.925838138925
950263200	42	351.693965030878
950266800	42	349.505365469
950270400	42	331.20481955167
950274000	42	330.336789117286
950277600	42	328.101358401143
950281200	42	325.933951175966
950284800	42	324.168809640002
950288400	42	322.762303382723
950292000	42	314.184549484838
950295600	42	315.755975170028
950299200	42	318.890028699593
950302800	42	322.567953911807
950306400	42	327.012012767282
950310000	42	331.918671458078
950313600	43	373.489424197252
950317200	43	376.232848628744
950320800	43	376.87562670215
950324400	43	378.447183116784
950328000	43	379.380585970848
950331600	43	380.070892255408
950335200	43	375.626493375325
950338800	43	374.512137009067
950342400	43	369.391270045528
950346000	43	364.49406202798
950349600	43	360.374394294553
950353200	43	356.67728398778
950356800	43	339.683823708157
950360400	43	338.332492617035
950364000	43	338.272628009089
950367600	43	337.729779804777
950371200	43	337.732806718898
950374800	43	338.062761533788
950378400	43	342.047819556563
950382000	43	342.700786058
950385600	43	344.458967859974
950389200	43	345.586751936002
950392800	43	346.822437428585
950396400	43	349.418804940154
950400000	44	375.941858640627
950403600	44	377.382311319932
950407200	44	377.000523293349
950410800	44	377.566356828
950414400	44	377.457609673697
950418000	44	376.948207204475
950421600	44	357.471944621645
950425200	44	355.487347868084
950428800	44	359.056289734526
950432400	44	366.137904465541
950436000	44	367.400083862701
950439600	44	366.303251667543
950443200	44	348.769482601585
950446800	44	346.161861252275
950450400	44	347.43742594244
950454000	44	350.265215159501
950457600	44	351.989382324469
950461200	44	353.695175803988
950464800	44	363.420341033294
950468400	44	363.456461801209
950472000	44	363.776481511244
950475600	44	363.637369855012
950479200	44	363.460788347604
950482800	44	363.299052039759
950486400	45	363.366581355254
950490000	45	363.912605273002
950493600	45	363.787192133483
950497200	45	363.684076636432
950500800	45	363.699649034971
950504400	45	363.653375203159
950508000	45	365.381660580376
950511600	45	364.976598589806
950515200	45	364.983625155321
950518800	45	365.102579993558
950522400	45	365.219251594631
950526000	45	365.324658716238
950529600	45	364.708421506304
950533200	45	364.500355847053
950536800	45	363.91638750291
950540400	45	363.74356181964
950544000	45	363.617110424417
950547600	45	363.392760699901
950551200	45	363.469903385464
950554800	45	363.679332780732
950558400	45	364.09720514132
950562000	45	364.89988421471
950565600	45	365.263719246274
950569200	45	365.483976560291
950572800	46	367.894160417285
950576400	46	368.43650142565
950580000	46	368.915778504228
950583600	46	369.669437685702
950587200	46	368.753638338643
950590800	46	368.135371923233
950594400	46	366.544166373489
950598000	46	366.381080635764
950601600	46	367.90016386038
950605200	46	368.726370448495
950608800	46	367.685108644105
950612400	46	364.205483542819
950616000	46	356.228305041934
950619600	46	357.771557475941
950623200	46	360.471855621065
950626800	46	365.586406350337
950630400	46	369.292081011941
950634000	46	371.316154835182
950637600	46	371.721115799187
950641200	46	371.67472022312
950644800	46	371.878253363576
950648400	46	373.262271771338
950652000	46	374.535063641576
950655600	46	375.148466151227
950659200	47	370.899422014546
950662800	47	372.561029238974
950666400	47	372.126809339539
