Unix	jday	V.component_of_wind
1065117600	275	-10.1439139291759
1065121200	275	-12.0569129902655
1065124800	275	-12.9213288222885
1065128400	275	-12.7762840165306
1065132000	275	-11.0353247410296
1065135600	275	-9.80392237508242
1065139200	276	-5.72905474943868
1065142800	276	-6.19987244801397
1065146400	276	-5.97590152143196
1065150000	276	-6.0141848096822
1065153600	276	-5.23963660079981
1065157200	276	-3.53974747537456
1065160800	276	-0.0132944767440395
1065164400	276	1.91470965531699
1065168000	276	3.13196580517567
1065171600	276	4.91241772261778
1065175200	276	5.67915805901539
1065178800	276	5.93894334004739
1065182400	276	8.85230392521422
1065186000	276	6.89012410749845
1065189600	276	6.18573970346956
1065193200	276	5.47445748103559
1065196800	276	4.68279971221216
1065200400	276	3.95757725064716
1065204000	276	2.55643593674787
1065207600	276	3.83681212777641
1065211200	276	5.34005871513285
1065214800	276	6.85495110370477
1065218400	276	7.7210779179674
1065222000	276	7.81820603474431
1065225600	277	4.35386185194271
1065229200	277	3.58994554928413
1065232800	277	3.38782695341544
1065236400	277	3.2484869633431
1065240000	277	3.25920179790503
1065243600	277	2.86313769674772
1065247200	277	3.59269793664244
1065250800	277	1.0721635906537
1065254400	277	0.825115378567103
1065258000	277	1.09487196282895
1065261600	277	1.41874765372538
1065265200	277	2.33158426295288
1065268800	277	5.85100018967008
1065272400	277	5.62785625598479
1065276000	277	5.3344588044398
1065279600	277	5.46759757240734
1065283200	277	6.21122144184305
1065286800	277	6.53129117223986
1065290400	277	7.81928993671145
1065294000	277	6.77546818166399
1065297600	277	6.65533450364447
1065301200	277	6.66191114382283
1065304800	277	6.85469929838453
1065308400	277	6.77616457277409
1065312000	278	7.48057800687282
1065315600	278	6.0578107600508
1065319200	278	5.53615283468458
1065322800	278	5.09852478287534
1065326400	278	4.91654130279607
1065330000	278	4.85362556314877
1065333600	278	4.40143384227328
1065337200	278	3.91615995664379
1065340800	278	3.46233213633756
1065344400	278	2.86163184654223
1065348000	278	2.00796895507119
1065351600	278	1.35228034297219
1065355200	278	3.507807278135
1065358800	278	2.50862024161985
1065362400	278	1.55177653239392
1065366000	278	0.639334210331678
1065369600	278	0.37714246918419
1065373200	278	0.222350019961887
1065376800	278	-0.849334397586925
1065380400	278	-0.315593768208857
1065384000	278	-0.514709770167714
1065387600	278	-1.18479565917957
1065391200	278	-1.63263568497895
1065394800	278	-1.7778123737729
1065398400	279	-0.853858271728338
1065402000	279	-1.02089234301057
1065405600	279	-0.868745177275872
1065409200	279	-0.717782974159845
1065412800	279	-0.465217650597432
1065416400	279	-0.112668787073454
1065420000	279	0.681904304915375
1065423600	279	0.495978276867054
1065427200	279	0.759153397613376
