Unix	jday	rh
1045807200	52	53
1045810800	52	60
1045814400	52	63
1045818000	52	64
1045821600	52	64
1045825200	52	64
1045828800	52	66
1045832400	52	66
1045836000	52	65
1045839600	52	65
1045843200	52	65
1045846800	52	65
1045850400	52	65
1045854000	52	65
1045857600	52	60
1045861200	52	56
1045864800	52	52
1045868400	52	50
1045872000	53	50
1045875600	53	54
1045879200	53	57
1045882800	53	60
1045886400	53	62
1045890000	53	64
1045893600	53	68
1045897200	53	73
1045900800	53	80
1045904400	53	81
1045908000	53	82
1045911600	53	83
1045915200	53	85
1045918800	53	83
1045922400	53	84
1045926000	53	85
1045929600	53	86
1045933200	53	88
1045936800	53	89
1045940400	53	88
1045944000	53	84
1045947600	53	75
1045951200	53	67
1045954800	53	62
1045958400	54	61
1045962000	54	60
1045965600	54	61
1045969200	54	63
1045972800	54	65
1045976400	54	69
1045980000	54	74
1045983600	54	79
1045987200	54	83
1045990800	54	84
1045994400	54	85
1045998000	54	87
1046001600	54	85
1046005200	54	86
1046008800	54	87
1046012400	54	88
1046016000	54	89
1046019600	54	89
1046023200	54	88
1046026800	54	82
1046030400	54	76
1046034000	54	69
1046037600	54	64
1046041200	54	62
1046044800	55	61
1046048400	55	60
1046052000	55	60
1046055600	55	61
1046059200	55	61
1046062800	55	64
1046066400	55	68
1046070000	55	78
1046073600	55	84
1046077200	55	86
1046080800	55	87
1046084400	55	87
1046088000	55	85
1046091600	55	84
1046095200	55	85
1046098800	55	87
1046102400	55	90
1046106000	55	92
1046109600	55	94
1046113200	55	95
1046116800	55	94
1046120400	55	91
1046124000	55	80
1046127600	55	68
1046131200	56	62
1046134800	56	59
1046138400	56	59
1046142000	56	60
1046145600	56	62
1046149200	56	65
1046152800	56	71
1046156400	56	78
1046160000	56	82
1046163600	56	83
1046167200	56	86
1046170800	56	86
1046174400	56	86
1046178000	56	85
1046181600	56	83
1046185200	56	81
1046188800	56	80
1046192400	56	79
1046196000	56	77
1046199600	56	76
1046203200	56	71
1046206800	56	68
1046210400	56	60
1046214000	56	54
1046217600	57	52
1046221200	57	50
1046224800	57	50
1046228400	57	52
1046232000	57	55
1046235600	57	60
1046239200	57	67
1046242800	57	70
1046246400	57	71
1046250000	57	76
1046253600	57	85
1046257200	57	87
1046260800	57	80
1046264400	57	79
1046268000	57	79
1046271600	57	79
1046275200	57	80
1046278800	57	81
1046282400	57	83
1046286000	57	83
1046289600	57	76
1046293200	57	72
1046296800	57	66
1046300400	57	61
1046304000	58	57
1046307600	58	54
1046311200	58	53
1046314800	58	55
1046318400	58	58
1046322000	58	62
1046325600	58	73
1046329200	58	80
1046332800	58	77
1046336400	58	75
1046340000	58	77
1046343600	58	77
1046347200	58	84
1046350800	58	79
1046354400	58	79
1046358000	58	80
1046361600	58	79
1046365200	58	78
1046368800	58	81
1046372400	58	83
1046376000	58	86
1046379600	58	87
1046383200	58	84
1046386800	58	81
1046390400	59	69
1046394000	59	66
1046397600	59	65
1046401200	59	65
1046404800	59	67
1046408400	59	69
1046412000	59	74
1046415600	59	85
1046419200	59	89
1046422800	59	89
1046426400	59	89
1046430000	59	89
1046433600	59	92
1046437200	59	88
1046440800	59	86
1046444400	59	84
1046448000	59	84
1046451600	59	83
1046455200	59	83
1046458800	59	84
1046462400	59	79
1046466000	59	75
1046469600	59	68
1046476800	60	64
1046480400	60	61
1046484000	60	61
1046487600	60	64
1046491200	60	67
1046494800	60	72
1046498400	60	77
1046502000	60	87
1046505600	60	92
1046509200	60	93
1046512800	60	92
1046516400	60	91
1046520000	60	93
1046523600	60	91
1046527200	60	91
1046530800	60	90
1046534400	60	87
1046538000	60	85
1046541600	60	84
1046545200	60	84
1046548800	60	86
1046552400	60	85
1046556000	60	79
1046559600	60	74
1046563200	61	70
1046566800	61	72
1046570400	61	85
1046574000	61	90
1046577600	61	90
1046581200	61	88
